name;address;inn;ogrn;license_number
"ООО ""Северное сияние""";пр. Энгельса д.71;7802200173;1,0278E+12;78-01-000022
"ООО ""Медилайф""";Лиговский пр. д.201, лит.А, пом.3Н;7816195212;1,02781E+12;78-01-000023
"Автономная некоммерческая организация ""Медицинский центр ""Двадцать первый пек"" АНО ""Медицинский центр ""Двадцать первый век""";ул. Садовая д.53;7826706917;1,03785E+12;78-01-000024
"ООО ""Приор""";Литейный пр. д.59, лит.А, пом.14Н;7805196817;1,03781E+12;78-01-000025
"ООО ""Приор""";Литейный пр. д.59, лит.А, пом.14Н;7805196817;1,03781E+12;78-01-000026
"ООО ""Приор""";Литейный пр. д.59, лит.А, пом.14Н;7805196817;1,03781E+12;78-01-000027
"ООО ""Эдельвейс""";ул. Мичуринская, д.14/3;7813137011;1,03783E+12;78-01-000028
"ООО ""Петробалт""";пр. Чернышевского, д.17, лит.А, пом.24Н;7805298047;1,04781E+12;78-01-000029
"НГУЗ ""Дорожная клиническая поликлиника ОАО ""РЖД""";ул. Боровая, д.55;7816353532;1,04786E+12;ЛО-78-01-000030
"ООО ""Центр ""Академическая медицина""";Поварской пер., д. 13, лит. А, пом. 10-Н;7825478753;1,02781E+12;ЛО-78-01-000031
"ООО ""АМИКОДЕНТ""";ул. Промышленная, д. 5;7805373181;1,05781E+12;ЛО-78-01-000032
"ООО ""Стома идеал""";Невский пр., д. 163, лит. А;7842357950;1,07785E+12;ЛО-78-01-000033
"ООО ""Валеодент Плюс""";Петергофское шоссе, д. 3, корп. 1, лит. Д, часть пом. 2-Н (ч.п. 2, 3, 4, 5, 6, 7, 27);7805113070;1,03782E+12;ЛО-78-01-000034
"ООО  ""Профидент""";Светлановский пр., д. 71, к. 1, кв. 59;7804363328;1,07785E+12;ЛО-78-01-000035
"ООО ""ДЕНТЕЙ""";ул. Куйбышева, д. 26, к. 2, лит. А, пом. 20-Н;7813360115;5,06785E+12;ЛО-78-01-000036
"ООО ""Медицинский пренатальный центр""";Балканская пл., д. 5, лит. Д, пом. 12-Н, № 2, № 3;7816400856;5,06785E+12;ЛО-78-01-000037
"ЗАО ""Дентал Палас""";Большой пр., П.С., д. 79, лит. А, пом. 9-Н;7825088658;1,03784E+12;ЛО-78-01-000038
"ООО ""ХЕЛИКС ПРИМОРСКИЙ""";ул. Уточкина, д. 7;7814388152;1,07785E+12;ЛО-78-01-000039
"ООО ""Диагностический центр ""Зрение""";Коломяжский пр., д. 10;781386846;1,07785E+12;ЛО-78-01-000040
"ЗАО ""Санаторий ""Стрельна"" - дочернее общество ОАО ""Кировский завод""";Петродворец-5, ул. Портовая, д. 19;7819029904;1,03784E+12;ЛО-78-01-000041
"ООО ""Хлебтранс""";ул. Кондратенко, д. 3;7810019161;1,05781E+13;ЛО-78-01-000042
"ОАО ""Автотранспортное предприятие -15""";ул. Автомобильная, д.8;7805014320;1,0278E+12;ЛО-78-01-000043
"ООО ""КИФА""";Большой Казачий пер., д. 4, лит. А, пом. 11-Н;7809018621;1,02781E+12;ЛО-78-01-000044
"ООО ""РИШАР""";пр. Просвещения, д. 33, к. 2, лит. А, пом. 42-Н;7810260673;1,0278E+12;ЛО-78-01-000045
"ООО АРКАДИЯ""";ул. Ломоносова, д. 26, лит. А, пом. 1-Н, 2-Н;7825480400;1,02781E+12;ЛО-78-01-000046
"ООО ""Дентос""";ул. 8-я Советская, д. 50, лит. Б, пом. 1-Н;7842331461;1,06785E+12;ЛО-78-01-000047
"ООО ""САША""";пр. Солидарности, д. 3, к. 3, лит. А;7811130155;1,02781E+12;ЛО-78-01-000048
"ЗАО ""Невская Оптика Холдинг""";Ленинский пр., д. 140;7805140028;1,0278E+12;ЛО-78-01-000049
"ООО ""Диваэль""";пр. Художников, д. 10, корп. 1, лит. А, пом. 29-Н;7802419254;1,08985E+12;ЛО-78-01-000050
"ОАО ""ЛУКС""";пр. Славы, д. 23, к. 3, ;7816197315;1,03784E+12;ЛО-78-01-000051
"ООО ""Герикон""";ул. Гражданская, д. 2-4, лит. А;7826030386;1,02781E+12;ЛО-78-01-000052
"ЗАО ""ФЕРМОПИЛЫ""";ул. Народная, д. 2;7811070428;1,02781E+12;ЛО-78-01-000053
"ООО ""Альфа-дент""";пр. Ударников. Д. 49, корп. 1;7806150519;1,03782E+12;ЛО-78-01-000054
"ООО ""ЛЕТА""";Лиговский пр., д. 43/45;7825350880;1,03784E+12;ЛО-78-01-000055
"ООО ""ТКС""";Биржевая линия, д. 12;7801131030;1,0278E+12;ЛО-78-01-000056
"ООО ""Международная клиника""МЕDЕМ""";ул. Марата, д. 6, лит. А;7826117076;1,02781E+12;ЛО-78-01-000057
"ООО ""АСТРА-3""";Тихорецкий пр., д. 22/13;7802352987;1,06985E+12;ЛО-78-01-000058
"ООО ""Дубровин""";ул. Флотская, д. 2, лит. А, пом. Н-2;7818012111;1,02781E+12;ЛО-78-01-000059
"ЗАО ""Дентал Палас""";Большой пр., П.С., д. 79, лит. А, пом. 9-Н;7825088656;1,03784E+12;ЛО-78-01-000060
"ООО ""АЛЕВ""";пр. Энгельса, д. 58, кв. 3;7802417850;1,07985E+12;ЛО-78-01-000061
"ООО ""ПТК""";пр. Стачек, д. 108;7841315139;1,05781E+12;ЛО-78-01-000062
"ЗАО ""Северо-Западный центр доказательной медицины""";Петровская наб., д. 4, оф. 3;7813316148;1,05781E+12;ЛО-78-01-000063
"ООО ""СТОМАТИК""";ул. Киришская, д. 4, лит. А, пом. 23-Н;7804380796;1,08985E+12;ЛО-78-01-000064
"ООО ""Эглин""";ул. Кронштдатская. Д. 4;7805447404;1,07985E+12;ЛО-78-01-000065
"ООО ""Арнаник""";пр. Шаумяна, д. 4, корп. 1, лит. А, пом. 27-Н;7801100056;1,0278E+12;ЛО-78-01-000066
"ЗАО ""Неодент""";Невский пр., д. 82;7825382530;1,02781E+12;ЛО-78-01-000067
"ООО ""Медицинский сервис""";Шепетовская ул., д. 14, лит. А;7806126428;1,03782E+12;ЛО-78-01-000068
"ООО ""АРНИКА""";2-й Муринский пр., д. 34, корп. 1, лит. Б, пом. 3-Н;7802099879;1,0378E+12;ЛО-78-01-000069
"ОАО ""Аэропорт ""Пулково""";ул. Пилотов, д. 18, корп. 4, ;7810091320;1,07785E+12;ЛО-78-01-000070
"ООО ""Дентал Лайт""";ул. Б. Монетная, д. 17-19, лит И;7813165202;1,03783E+12;ЛО-78-01-000071
"ООО ""МЕДЦЕНТР ""ЭКО""";Большой Смоленский пр., д. 6, лит. А;7811126776;1,02781E+12;ЛО-78-01-000072
"ООО ""Демиург""";ул. Боровая, д. 59-61, лит. А;7816175985;1,02781E+12;ЛО-78-01-000073
"ООО ""ПАНДЕНТ""";Гродненский пер. д.12-14, лит. А, пом. 21-Н;7625373430;1,03784E+12;ЛО-78-01-000074
"ООО ""ОЛЬГА""";В.О., 3-я линия, д. 5-, лит. С, часть здания 2Н (комн. 1-7);7801115246;1,0378E+12;ЛО-78-01-000075
"ООО ""Авто-Парнас""";пр. Культуры, д. 42;4703051905;1,0247E+12;ЛО-78-01-000076
"ООО ""ЛеО-Дент""";ул. Шкапина, д. 32-34, лит. А;7826145845;1,02781E+12;ЛО-78-01-000077
"ООО ""Экодент""";ул. Кораблестроителей, д. 32, корп. 3, лит. А;7801418699;5,06785E+12;ЛО-78-01-000078
"ООО ""ГАЗЕЛЬ""";Заневский пр., д. 34, корп. 1, пом. 1-Н;7825087397;1,02781E+12;ЛО-78-01-000079
"ООО ""РАДУГА-С""";Большой Сампсониевский пр., д. 75, пом. 3-Н;7802410639;1,07785E+12;ЛО-78-01-000080
"ООО ""Центр флебологии""";ул. Островитянова, д. 1, стр. 9;7728199296;1,0277E+12;ЛО-78-01-000081
"ООО ""Гранти-мед""";В.О., 11-я линия, д. 20, пом. 7Н, лит. А;7801376671;1,05781E+12;ЛО-78-01-000082
"ООО ""Пульс-сервис""";Орловский пер, д. 1/4;7815023490;1,02781E+12;ЛО-78-01-000083
"ООО ""Таурас-МЕД""";Торфяная дорога, д. 9;7814136300;1,03783E+12;ЛО-78-01-000084
"ООО ""Медведь-С""";ул. Гаврская, д. 2, лит. А, пом. 4-Н;7802310017;1,04786E+12;ЛО-78-01-000085
"ООО ""Медведь-СПб""";пр. Ветеранов, д. 16, лит. А, пом. 24-Н;7810153103;1,0278E+12;ЛО-78-01-000086
"ООО ""Хеликс-Мед""";аллея Поликарпова, д. 2, лит. А, пом. 3Н;7814390916;1,07985E+12;ЛО-78-01-000087
"ООО ""Санкт-Петербургская Клиника Реабилитации""""";Северный пр., д. 18/1, лит. А, пом. 14Н;7802307575;1,04786E+12;ЛО-78-01-000088
"ООО ""Алмаз""";Придорожная аллея, д. 13, лит. А;7816385365;1,06785E+12;ЛО-78-01-000089
"ООО ""Мастер-Дент""";Приморский пр., д. 3;7817019040;1,02781E+12;ЛО-78-01-000090
"ООО ""Линкон""";В.О., 14-я линия, д. 97, лит. А, пом. 2Н;7801007096;1,0278E+12;ЛО-78-01-000091
"ООО ""ОсаМеД""";ул. акад. Павлова,д. 9а;7813365201;1,06985E+12;ЛО-78-01-000092
"ООО ""Неваклуб""";пр. Просвещения, д. 33, корп. 2, лит. А, пом. 20Н;7802341230;1,05781E+12;ЛО-78-01-000093
"ООО  ""МСЧ № 157""";ул. Варшавская, д. 100, лит. А;7810486166;1,07785E+12;ЛО-78-01-000094
"ООО ""Димак Сервис""";ул. Кораблестроителей, д. 38, к. 1, лит. А, пом. 11;7825088658;1,0278E+12;ЛО-78-01-000095
"ПК ""КВАРЦ""";ул. Фурштатская, д. 40, лит. В, пом. 1Н;7808034483;1,02781E+12;ЛО-78-01-000096
"ООО ""Эко-ленз""";В.О., 25-я линия, дом 6, корп. 1, лит. В;7801385669;1,05781E+12;ЛО-78-01-000097
"ОАО ""Нива-СВ""";ул. Корабельная, д. 6;7805006978;1,0278E+12;ЛО-78-01-000098
"ООО ""ГИФТ""";Лиговский пр., д. 70, лит. А, к. 6;7802187155;1,0378E+12;ЛО-78-01-000099
"ООО ""Даймонд-Дент""";ул. Моховая, д. 45, лит. А, пом. 1-Н;7825134960;1,03784E+12;ЛО-78-01-000100
"ООО ""Кладовые здоровья - Сервис""""";ул. Можайская, д. 2, лит. А, пом. 2-Н;7838394540;1,07985E+12;ЛО-78-01-000101
"ООО ""Медильер-Дент"" ";ул. Большая Разночинная, д. 30;7813393583;1,07785E+12;ЛО-78-01-000102
" ООО ""Витаника Дентал""";пр. Обуховской Обороны, д. 120, лит. Б, пом. 9Н(8);7811399798;1,08985E+12;ЛО-78-01-000103
"ООО  ""Стоматолог""";ул. 2-я Комсомольская, д. 24, корп. 3;7807041417;1,0278E+12;ЛО-78-01-000104
"ООО ""Медицинская фирма ""ДУНАЙ""";ул. Пограничника Гарькавого, д. 36, корп. 5;7807049800;1,03782E+12;ЛО-78-01-000105
"ООО ""Стоматология""";ул. Маршала Захарова, д. 20, лит. Б, пом. 2-Н;7807056220;1,03782E+12;ЛО-78-01-000106
"ООО ""ФИРМА ВЕРОНИКА ЛТД""";ул. Савушкина, д. 8, корп. 2;7814015070;1,03783E+12;ЛО-78-01-000107
"ООО ""ОН Клиник Санкт-Петербург""";пр. Ветеранов, д. 52, корп. 1, лит. Б, пом. 15Н;7805455589;1,08985E+12;ЛО-78-01-000108
ИП Шморгун Л.Е.;ул. Марата, д. 56-58, кв. 21;7,826E+11;3,04784E+14;ЛО-78-01-000109
ИП Шморгун Т.С.;ул. Марата, д. 56-58, кв. 21;7,83516E+11;3,08795E+14;ЛО-78-01-000110
ИП Красноусов О.Л.;ул. Садовая, д. 18, кв. 39;7,81704E+11;3,04782E+14;ЛО-78-01-000111
"ООО ""ЕМС""";Московский пр., д. 56, лит. 3, пом. 2;7826131761;1,02781E+12;ЛО-78-01-000112
"ООО ""Медильер""";ул. Большая Разночинная, д. 30;7813392702;1,07785E+12;ЛО-78-01-000113
"ООО ""Медицинская Экспертиза""";Кондратьевский пр., д. 72, лит. А;784151450;1,0278E+12;ЛО-78-01-000114
"ООО ""ОСТЕОМЕД""";ул. Исполкомская, д. 4-6, лит. А, пом. 10Н;7842377089;1,08985E+12;ЛО-78-01-000115
"ООО ""Амориа Групп""";пр. Авиаконструкторов, д. 5, лит. А, пом. 14Н;7814349322;5,06784E+11;ЛО-78-01-000116
"ЗАО ""Городской пародонтологический центр ""ПАКС""";пр. Добролюбова, д. 27, лит. А, пом. 3Н;7808024703;1,03784E+12;ЛО-78-01-000117
"ООО  НПП ""ИммуноБиоСервис""";Московское шоссе, д. 30, корп. 2, лит. А, пом. 48Н;7801012321;1,0378E+11;ЛО-78-01-000118
"ЗАО ""Поликлиника Петербургского Метростроя""";ул. Тимуровсккая, д. 17, корп. 3;7804157117;1,03781E+12;ЛО-78-01-000119
"ЗАО ""ЭЭУК ""Авангард-Энерго""";пр. Кондратьевский, д. 72;7804068178;1,0278E+12;ЛО-78-01-000120
"ЗАО ""ДЕНТА""";ул. Казанская, д. 3;7812014970;1,02781E+12;ЛО-78-01-000121
"ООО ""ЗУБОТЕХНИЧЕСКАЯ ЛАБОРАТОРИЯ ""ДЕНТ-МАСТЕР""";ул. Тимуровская, д. 17, корп. 3;7804343956;5,06785E+12;ЛО-78-01-000122
"ООО ""Балтийская медицинская клиника""";Выборгское шоссе, д. 5, корп. 1, пом. 55Н, лит. 3;7802209521;1,0378E+12;ЛО-78-01-000123
"ООО ""АВА-ПЕТЕР""";Невский пр., д. 22-24, лит. А, пом. 50-Н;7825052242;1,02781E+12;ЛО-78-01-000124
"ООО ""Дентасервис""";Лиговский пр., д. 56;7825422341;1,03784E+12;ЛО-78-01-000125
"ООО ""ГОРОД""";ул. Федосеенко, д. 18, лит. Ц;7804157565;1,0278E+12;ЛО-78-01-000126
"ООО ""Альфа-стом""";Лиговский пр., д. 29, пом. 16-Н;7825386848;1,02781E+12;ЛО-78-01-000127
"ООО ""Фил Гуд СПб""";ул. Мебельная, д. 1, лит. А, корп. 2;7814113870;1,02781E+12;ЛО-78-01-000128
"ООО ""ОФТАКОН""";Большая Зеленина ул., д. 13, пом. 6Н, лит. А;7813117262;1,02781E+12;ЛО-78-01-000129
"ООО ""ПАНДЕНТ Плюс""";ул. Типанова, д. 4, лит. А, пом. 31-Н;7810061491;5,06785E+12;ЛО-78-01-000130
"ООО ""Семейный дантист""";ул. Танкистов, д. 28а, лит. А;7817040645;1,02781E+12;ЛО-78-01-000131
"ООО ""ДентИдеал Люкс""";Загорродный пр., д. 48, лит. А;7826019350;1,02781E+12;ЛО-78-01-000132
"ООО ""Дента Л плюс""";Большой пр., П.С., д. 9/1, лит. А, пом. 7-Н;7818011534;1,02781E+12;ЛО-78-01-000133
"ОАО ""Обуховский завод строительных материалов и конструкций""";Грузовой проезд, д. 29;7816061836;1,03784E+12;ЛО-78-01-000134
"ООО  ""Ортодонтический центр ""ДентИдеал Плюс""";Загорродный пр., д. 48, лит. А;7809018340;1,02781E+12;ЛО-78-01-000135
"ОАО ""Информационные телекоммуникационные технологии""";Кантемировская ул., д. 5;7802030605;1,0278E+12;ЛО-78-01-000136
"ОАО ""Автопарк № 6 ""Спецтранс""";пр. Энергетиков;7830000440;1,03782E+12;ЛО-78-01-000137
"ООО ""АСТРА""";наб реки Мойки, д. 51;7825413139;1,03784E+12;ЛО-78-01-000138
"ООО ""Приоритет""";проспект Ленина, дом 101;4716029110;1,07477E+13;ЛО-78-01-000139
"ЗАО ""Медико-социальый центр ""Аллотина""";ул. профессора Попова, д. 37, литер А;7813068953;1,02781E+12;ЛО-78-01-000140
"ООО ""Специализированная Стоматологическая Клиника ""Зубастик 24""";Ленинский пр., д. 97, к. 3, литер А, пом. 3-Н;7807332906;1,08985E+12;ЛО-78-01-000141
"АНО ""Городской медико-социальный центр""";ул. Фрунзе, д. 23, лит. А, пом. 2Н;7810017196;1,05781E+12;ЛО-78-01-000142
"ООО ""Анталгический Центр""";улица Блохина, дом 10, пом. 4-Н;7813357391;5,06785E+12;ЛО-78-01-000144
"ООО ""Медицинский центр""НЕВА""";пр. Просвещения, д. 46, корп. 1, пом. 34Н, 35Н, лит. А;7802408356;1,07985E+12;ЛО-78-01-000145
"ООО ""МЕДИК""";пр. Энгельса, д. 154;7802013737;1,0278E+12;ЛО-78-01-000146
"ООО ""МаксиДент""";д. 27, корп. 1, лит. А;7814102156;1,02781E+12;ЛО-78-01-000147
"ООО ""Маринеска""";ул. Введенская, д. 17, лит. А, пом. 11-Н;7813405060;1,08985E+12;ЛО-78-01-000148
"ООО ""МЕД-А""";ул. Некрасова, д. 17, лит. А;7841355759;1,07785E+12;ЛО-78-01-000149
"ООО ""Уни Дент""";аллея Поликарпова, д. 6, корп. 2;7814104146;1,02781E+12;ЛО-78-01-000150
"ООО ""Эскомед""";ул. Рубинштейна, д. 34;7840368160;1,07785E+12;ЛО-78-01-000151
"ООО ""Ренессанс Дент""";Лиговский пр., д. 23, лит. А, пом. 3Н;7842004150;1,03787E+12;ЛО-78-01-000152
"ООО ""Алюр""";проспект Российский, дом 5;7811397310;1,08985E+12;ЛО-78-01-000153
"ЗАО ""Невская Оптика Холдинг""";Ленинский пр., д. 140;7805140028;1,0278E+12;ЛО-78-01-000154
"ОАО ""Санаторий ""Сестрорецкий курорт""";ул . Максима Горького, дом 2;7827003258;1,02781E+12;ЛО-78-01-000155
"ООО ""ИМПЛАНТ""";Комендантский пр., дом 14, корп. 1, пом. 15Н, литер А;7825419074;1,03784E+12;ЛО-78-01-000156
"ООО ""Дента Л плюс""";Большой проспект П.С., д. 9/1, литер А, пом. 7-Н;7818011534;1,02781E+12;ЛО-78-01-000157
"ООО ""Бета""";ул. Яблочкова, д. 12, лит. Ц;7813379677;1,07785E+12;ЛО-78-01-000158
"ООО ""Юрмас""";ул. Малая Балканская, д. 62/25, кв. 153;7816219022;1,03784E+12;ЛО-78-01-000159
"ООО ""Юрмас""";ул. Малая Балканская, д. 62/25, кв. 153;7816219022;1,03784E+12;ЛО-78-01-000160
"ЗАО ""Невская Оптика Холдинг""";Ленинский пр, д. 140;7805140028;1,0278E+12;ЛО-78-01-000161
"ЗАО ""Эстетик Консалтинг""";ул. Киевская, д. 5, лит. Т 3;7810269700;1,0278E+12;ЛО-78-01-000162
"ООО ""АндроМеда""";ул. Звенигородская, д. 12/17;7825503150;1,03784E+12;ЛО-78-01-000163
"ПК ""Дилесто""";проспект Луначарского, дом 100, квартира 420;7804021684;1,03781E+12;ЛО-78-01-000164
"ООО ""Мануальная терапия""";ул. Союза печатников, д. 25а, лит. А, пом. 4Н;7839367130;1,07785E+12;ЛО-78-01-000165
"ООО ""КЕНДАС""";ул. Аэродромная, д. 7, к. 2;7814124086;1,02781E+12;ЛО-78-01-000166
"ООО ""Олмед""";улица Токарева, дом 9, литер А;7827000754;1,02781E+12;ЛО-78-01-000167
"ООО ""АИ-Стоматология""";пр. Римского-Корсакова, д. 8/18, пом. 6 Н, лит. А;7826739831;1,02781E+12;ЛО-78-01-000168
"ООО ""РИН-Мед""";ул. Гороховая, д. 32/5, пом. 39-Н;7825486088;1,02781E+12;ЛО-78-01-000169
"ООО ""Хеликс Балтика""";Гражданский пр., д. 88, корп. 3, лит. А, пом. 18-Н;7804347284;5,06785E+12;ЛО-78-01-000170
"ООО ""ОрКли""";В.О., Средний проспект, д. 48, помещение 20Н, литера А;7801100627;1,0378E+12;ЛО-78-01-000171
"ООО ""ФЕНИКС""";ул. Колокольная, д. 11, Литер А,  помещение 8Н;7802209680;1,0378E+12;ЛО-78-01-000172
"ООО ""КОРПОРАЦИЯ ""АРРИКА""";ул.  Будапештская, д. 71, корп. 4, литер А, пом. 31 Н;7816192557;1,03784E+12;ЛО-78-01-000173
"ООО ""Евромед Клиник""";Ланское шоссе, д. 9;78140989437;1,02781E+12;ЛО-78-01-000174
"ООО ""Клиника пастической хирургии""";проспект Культуры, дом 4;7802146705;1,0278E+12;ЛО-78-01-000175
"ООО ""МС""";Малый ВО пр-кт, д. 15, литер А;7801260028;1,0478E+12;ЛО-78-01-000176
"ООО ""Айсберг""";ул. Бронницкая, д. 25, литера А, пом. 6-Н;7838404300;1,08985E+12;ЛО-78-01-000177
"ООО ""АЛЕВ""";пр.  Энгельса, д. 58, кв. 3;7802417850;1,07985E+12;ЛО-78-01-000178
"ООО ""РАОМед Плюс""";Невский проспект, дом 87/2, лит. А, пом. 38Н;7842373550;1,07985E+12;ЛО-78-01-000179
"ООО ""Кладовые здоровья - Сервис""";ул. Можайская, д. 2, лит. А, пом. 2-Н;7838394540;1,07985E+12;ЛО-78-01-000180
"ЗАО ""САНАТОРИЙ ""РЕПИНО""";Приморское шоссе, дом 394;7827012703;1,02781E+12;ЛО-78-01-000181
"ООО ""ОНИКС-ОПТИК""";ул. Большая Морская, д. 56, пом. 29;7825419074;1,03784E+12;ЛО-78-01-000182
"ООО ""Агава-М""";ул. Железноводская, д. 20, лит. А;7801461623;1,08985E+12;ЛО-78-01-000183
"ООО ""ГОРОД""";ул. Федосеенко, д. 18, лит. Ц;7804157565;1,0278E+12;ЛО-78-01-000184
"ООО ""Намастэ""";улица Рюхина, д. 12, лит. А, пом. 20Н;7804319583;1,05781E+12;ЛО-78-01-000185
"ООО ""ОМОС""";пр. Лермонтовский, дом 1/44, литер А помещения 1, 2, 3, 4;7826699699;1,02781E+12;ЛО-78-01-000186
"ООО ""МедКом""";ул. Подольская, д. 17, лит. А, пом. 2-Н;7838400112;1,08985E+12;ЛО-78-01-000187
"ООО ""ДОК""";Большой Казачий пер., д. 4, лит. А, пом. 9-Н;7812008373;1,03785E+12;ЛО-78-01-000188
"ОУ  ""ЛДЦ МИБС""";Удельный пр., д. 22, лит. А;7802202646;1,0278E+12;ЛО-78-01-000189
"ЗАО ""Планета Фитнес СПб""";ул. Мебельная, д. 1, лит. А, корп. 2;7814003807;1,02781E+12;ЛО-78-01-000190
"ООО ""ЕР сервис""";Басков переулок, д. 13-15, литер А, пом. 28-Н;7825495999;1,03784E+12;ЛО-78-01-000191
"ЗАО ""МЕДСТРОЙСОЮЗ""";ул. Двинская, д. 12;7805013220;1,03781E+12;ЛО-78-01-000192
"ООО ""ИКАР""";ул. Пулковская, д. 10, корп. 1, пом. 18Н;7810054342;1,06785E+12;ЛО-78-01-000193
"ООО ""Улыбка""";Детскосельский бульвар, д. 7, кю 19-а;7820019900;1,02781E+12;ЛО-78-01-000194
"ООО ""Максима""";улица Ленина, дом 8, литера А, помещение 25-Н;7813367520;1,07985E+12;ЛО-78-01-000195
"ООО ""Итальянская 6""";ул. Итальянская, д. 6/4. Литер А, пом. 28н;7841386620;1,08985E+12;ЛО-78-01-000196
"ЗАО ""Алитер-Акси""";ул. Дыбенко, д. 7;7801049755;1,03783E+12;ЛО-78-01-000197
"ООО ""Свежее дыхание""";ул. Куйбышева, д. 30, лит. А, пом. 4-Н;7813342846;1,06785E+12;ЛО-78-01-000198
"ЗАО ""Завод ""Радиус""";Волхонское шоссе, д. 109;7807032148;1,0278E+12;ЛО-78-01-000199
"ООО ""33 Премиум""";пр. Просвещения, д. 46, лит. А, пом. 12-Н;7802386305;1,07785E+12;ЛО-78-01-000200
"ООО ""Морской Рыбный пПорт""";Элеваторная площадка, дом 10;7805064715;1,0278E+12;ЛО-78-01-000201
"ООО ""Ассоль""";пр. Художников, д. 9, к. 1;7802135301;1,0378E+12;ЛО-78-01-000202
"ООО ""АкваМед""";Каменноостровский пр., д. 12;7813389932;1,07785E+12;ЛО-78-01-000203
"Общественная организация Ассоциация специалистов по нетрадиционным методам психотерапии ""АНИМА""";ул. Гастелло, д. 10;7810304056;1,03786E+12;ЛО-78-01-000204
"ООО ""Медицинская фирма ""ДУНАЙ""";ул. Тамбасова, д. 13, кор. 2, лит. А,  пом. 6Н;7807049800;1,03782E+12;ЛО-78-01-000205
"ООО ""Медицинская фирма ""ДУНАЙ""";ул. Тамбасова, д. 13, кор. 2, лит. А,  пом. 6Н;7807049800;1,03782E+12;ЛО-78-01-000206
"Автономная некоммерческая организация ""Поликлиника Петербургского Метрополитена""";Трамвайный пер.,д.22, корп.2;7805155627;1,0278E+12;ЛО-78-01-000207
"Общество с ограниченной ответственностью ""Стрекоза"" ООО ""Стрекоза""";пр. Художников, д. 10, корп. 1, лит. А, пом. 22-Н;7802404850;1,07785E+12;ЛО-78-01-000208
Индивидуальный предприниматель Михайлов Александр Федорович;Наличная ул, дом 51, корп. 1, кв. 30;7,801E+11;3,0578E+14;ЛО-78-01-000209
"Общество с ограниченной ответственностью ""ГАММА-АВТО"" ООО ""ГАММА-АВТО""";"Синопская наб., д. 36А, литера ""Л""";7825502371;1,03784E+12;ЛО-78-01-000210
"Общество с ограниченной ответственностью ""КЛЕРАНС"" ООО ""КЛЕРАНС""";ул. Льва Толстого, д. 1-3, лит. А, пом. 14Н;7813170001;1,03783E+12;ЛО-78-01-000211
"Общество с ограниченной ответственностью ""Вайт Дент"" ООО ""Вайт Дент""";пр. Луначарского, дом 1, корпус 1, литенра А, пом. 4-Н, 8-Н, 16-Н;7802419328;1,08985E+12;ЛО-78-01-000212
"Общество с ограниченной ответственностью ""Лиана"" ООО ""Лиана""";Московский пр., д. 34, пом. 11Н, лит. А;7826141960;1,02781E+12;ЛО-78-01-000213
